video_short,video,video_id,comment_index,comment,manual_7_emotion,manual_3_sentiment,label_notes
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,1,"You board as a doctor, you leave as a patient. -*United Airlines*",,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,2,"United Airlines ""We dont beat our competitors, but we do beat our customers""",,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,3,United didn’t even apologize for the man being dragged. They just apologized for being overbooked.,,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,4,"""Refused to leave voluntarily"" Yeah, that's not how that works.",,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,5,"United Airlines - ""Our prices are unbeatable but our passengers are not...""",,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,6,"""Not Enough Seating, Time For A Beating""",,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,7,"“You’re not at fault, time for an assault” - United",,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,8,This is one of the few times when a Karen was needed...,,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,9,United is putting the hospital in hospitality,,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,10,Comes as doctor Leaves as patient,,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,11,United Airlines- This won't happen again Me- Yeah because now all your flights are heavily underbooked,,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,12,“When in doubt beat the passenger out”-United Airlines,,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,13,Thank god for smartphones now days. Everything gets recorded.,,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,14,Hope this company flies straight in the trash,,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,15,"""We apologize for the overbook situation"" So, not even for how the passenger was handled?",,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,16,"""Sorry passengers but we seem to have overbooked the flight, do we have any volunteers who would like to re-book?......No......ok....execute order 66"".",,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,17,united airlines flight or fight we decide,,,
anger_brand_crisis,https://www.youtube.com/watch?v=VrDWY6C1178,VrDWY6C1178,18,Overbooking should not be legal,,,
